Id,Category
1,6
2,2
3,1
4,1
5,1
6,2
7,1
8,5
9,5
10,0
11,1
12,6
13,0
14,1
15,2
16,0
17,1
18,1
19,1
20,1
21,5
22,2
23,1
24,0
25,0
26,0
27,6
28,0
29,1
30,0
31,1
32,1
33,1
34,6
35,1
36,0
37,6
38,0
39,0
40,1
41,2
42,1
43,1
44,1
45,0
46,4
47,1
48,0
49,6
50,1
51,2
52,1
53,1
54,1
55,1
56,1
57,6
58,2
59,0
60,0
61,1
62,1
63,1
64,6
65,1
66,1
67,2
68,2
69,1
70,2
71,1
72,2
73,1
74,1
75,6
76,1
77,1
78,1
79,1
80,1
81,2
82,1
83,0
84,4
85,6
86,0
87,1
88,1
89,1
90,1
91,1
92,0
93,2
94,1
95,1
96,1
97,0
98,1
99,2
100,0
101,1
102,0
103,0
104,1
105,1
106,1
107,1
108,0
109,0
110,2
111,1
112,0
113,0
114,0
115,0
116,6
117,0
118,1
119,2
120,1
121,0
122,1
123,1
124,1
125,6
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,0
135,0
136,2
137,2
138,2
139,1
140,0
141,0
142,1
143,0
144,2
145,1
146,1
147,6
148,0
149,2
150,0
151,1
152,1
153,6
154,1
155,1
156,1
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,0
165,2
166,1
167,0
168,0
169,0
170,1
171,0
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,0
181,2
182,5
183,1
184,1
185,2
186,1
187,1
188,2
189,4
190,1
191,5
192,0
193,2
194,6
195,1
196,1
197,0
198,1
199,1
200,1
201,1
202,0
203,1
204,6
205,1
206,1
207,1
208,0
209,1
210,14
211,0
212,0
213,0
214,0
215,2
216,1
217,1
218,0
219,1
220,1
221,1
222,1
223,0
224,1
225,1
226,6
227,1
228,1
229,0
230,1
231,2
232,1
233,1
234,5
235,1
236,0
237,1
238,1
239,0
240,0
241,0
242,1
243,1
244,2
245,6
246,5
247,1
248,6
249,0
250,1
251,0
252,5
253,1
254,1
255,1
256,15
257,0
258,0
259,0
260,1
261,6
262,1
263,1
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,5
275,5
276,6
277,0
278,0
279,2
280,1
281,1
282,1
283,1
284,5
285,5
286,1
287,2
288,1
289,0
290,1
291,0
292,1
293,1
294,6
295,0
296,5
297,0
298,1
299,14
300,2
301,1
302,1
303,1
304,1
305,2
306,1
307,1
308,1
309,6
310,1
311,2
312,1
313,1
314,0
315,1
316,1
317,5
318,1
319,2
320,1
321,1
322,1
323,0
324,0
325,1
326,0
327,1
328,0
329,1
330,1
331,0
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,0
346,2
347,0
348,0
349,1
350,1
351,1
352,1
353,2
354,5
355,1
356,2
357,0
358,6
359,2
360,6
361,2
362,1
363,2
364,0
365,6
366,0
367,1
368,0
369,1
370,0
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,1
379,0
380,1
381,5
382,1
383,2
384,1
385,1
386,0
387,2
388,1
389,1
390,1
391,1
392,0
393,0
394,2
395,1
396,1
397,5
398,1
399,1
400,2
401,1
402,1
403,6
404,2
405,2
406,0
407,1
408,1
409,1
410,1
411,1
412,1
413,2
414,1
415,1
416,1
417,0
418,1
419,0
420,1
421,0
422,1
423,1
424,1
425,1
426,0
